"Title","Date","Affiliations","Description","Response","Victims","Sponsor","Type","Category","Response_type","link","state_victim","state_cat","date_orig","Year"
"Compromise of the Canadian Centre for Ethics in Sport",2018-10-04,"Believed to be the work of APT 28","A threat actor compromised the Canadian Centre for Ethics in Sport. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department. Canada issued a statement attributing the incident to Russian military intelligence.","Denouncement   https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html","Canadian Centre for Ethics in Sport","Russian Federation","Doxing","Civil society","Denouncement ","https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html  ",TRUE,"Super Power","2018-10-04",2018
"Targeting of emails of German lawmakers, military officials, and embassy staff",2018-11-29,"Believed to be the work of Russian hacker group Snake.","German security officials detected a cyberattack, believed to be by the Russian group Snake, on the email accounts of German celebrities, lawmakers, military officials, and staff of several German embassies.",NA,"Germany","Russian Federation","Doxing","Government","   ","   ",TRUE,"Super Power","2018-11-29",2018
"Compromise of U.S. electric utility control rooms",2018-07-23,"Believed to be the work of Russian state-sponsored group Dragonfly, also known as Energetic Bear","A threat actor compromised air-gapped, or isolated, networks owned by U.S. electric utility companies by penetrating the networks of trusted vendors.","Confirmation   https://www.wsj.com/articles/russian-hackers-reach-u-s-utility-control-rooms-homeland-security-officials-say-1532388110","United States","Russian Federation","Sabotage","Private sector","Confirmation ","https://www.wsj.com/articles/russian-hackers-reach-u-s-utility-control-rooms-homeland-security-officials-say-1532388110  ",FALSE,"Super Power","2018-07-23",2018
"Compromise of the Dukes",2018-01-25,NA,"A threat actor successfully compromised the networks of the Dukes, gaining visibility into the Dukes’ targeting methods and operations. This compromise allegedly helped the U.S. intelligence community to attribute the 2016 compromise of the Democratic National Committee and other entities to Russian state-sponsored actors.",NA,"Russian Federation","Netherlands","Espionage","Government","   ","   ",TRUE,"Middle Power","2018-01-25",2018
"Targeting of chemical research and media organizations in Germany",2018-07-12,"Believed to be the work of the Black Energy threat actor.","A threat actor targets German media companies and organizations involved in chemical weapons research, for the purpose of espionage.",NA,"Germany","Russian Federation","Espionage","Private sector","   ","   ",FALSE,"Super Power","2018-07-12",2018
"Poison Ivy",2018-09-21,NA,"This threat actor targets government and private-sector entities in the defense, maritime, and science and technology sectors in China for espionage purposes. It is particularly interested in information related to cross–Taiwan Strait and U.S.-Sino relations.",NA,"China",NA,"Espionage","Government","   ","   ",TRUE,"NA","2018-09-21",2018
"HenBox",2018-03-13,NA,"This threat actor targets Uighurs—a minority ethnic group located primarily in northwestern China—and devices from Chinese mobile phone manufacturer Xiaomi, for espionage purposes.",NA,"Uighurs","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2018-03-13",2018
"Compromise of FIFA",2018-10-04,"Believed to be the work of APT 28","A threat actor compromised the Federation Internationale de Football Association (FIFA). Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",NA,"Federation Internationale de Football Association (FIFA)","Russian Federation","Espionage","Civil society","   ","   ",TRUE,"Super Power","2018-10-04",2018
"Stealth Mango and Tangelo",2018-05-15,NA,"This threat actor, which consists of Stealth Mango (Android) and Tangelo (iOS), targets government officials, diplomats, military personnel, and activists in primarily Afghanistan, India, Iraq, Pakistan, and the United Arab Emirates for espionage.",NA,"Pakistan, Afghanistan, India, Iraq, United Arab Emirates, United States, Australia, Germany","Pakistan","Espionage","Government","   ","   ",TRUE,"Middle Power","2018-05-15",2018
"Targeting of the office of U.S. Senator Claire McCaskill",2018-07-26,"Believed to be the work of APT 28","The office of U.S. Senator Claire McCaskill (D-MO) announced that it was targeted by Russian state-sponsored cyber actors, following a report of the incident in the Daily Beast.",NA,"United States","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2018-07-26",2018
"Compromise of Marriott International",2018-11-30,"Suspected to be the work of Chinese operatives working for the Ministry of State Security.","Marriott reported a massive data breach that affected up to five hundred million customers in its Starwood hotels reservation system. U.S. private investigators believe China is behind the hack.",NA,"Marriott International Inc","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2018-11-30",2018
"Compromise of computer networks associated with the 2018 Pyeongchang Winter Olympics",2018-02-12,NA,"A threat actor, using a tool called Olympic Destroyer, successfully disrupted computer networks associated with the 2018 Winter Olympics in Pyeongchang, South Korea, before the opening ceremony. Among other things, the incident crashed the Wi-Fi network in the Olympic stadium and the press center.",NA,"Republic of Korea","Russian Federation","Sabotage","Civil society","   ","   ",TRUE,"Super Power","2018-02-12",2018
"Thrip",2018-06-19,"Also known as Billbug and Lotus Blossom.","This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.",NA,"United States","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2018-06-19",2018
"Cobalt Dickens",2018-08-24,"Also known as the Silent Librarian. Believed to be associated with the Mabna Institute.","This threat actor targets universities around the world for espionage purposes.",NA,"Australia, Canada, China, Israel, Japan, Switzerland, Turkey, United Kingdom, United States","Iran (Islamic Republic of)","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2018-08-24",2018
"UK targeting of the Islamic State group",2018-04-12,"Believed to be associated with the U.S. targeting of the Islamic State Group.","The United Kingdom’s Government Communications Headquarters director announced that, along with the UK Ministry of Defense, it had conducted a “major offensive cyber campaign” directed at the Islamic State, with the purpose of disrupting the group’s ability to recruit and coordinate. The UK campaign mirrors a previous one announced by the U.S. government in 2016.",NA,"Islamic State Group","United Kingdom","Sabotage","Civil society","   ","   ",TRUE,"Middle Power","2018-04-12",2018
"Targeting of Westinghouse Electric Corporation",2018-10-04,"Believed to be the work of APT 28","A threat actor targeted Westinghouse Electric Company, a nuclear power developer, for espionage purposes. One of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), was indicted by the U.S. Justice Department.","Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and","Westinghouse Electric Company","Russian Federation","Espionage","Private sector","Criminal charges"," https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and",FALSE,"Super Power","2018-10-04",2018
"Targeting of North Korean defectors and journalists",2018-05-15,"Believed to be associated with the Lazarus Group","A threat actor targets North Korean defectors and journalists with an interest in North Korea by compromising their Android devices, for espionage.",NA,"South Korea","Korea (Democratic People's Republic of)","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2018-05-15",2018
"Raspite",2018-08-02,NA,"This threat actor targets entities that operate industrial control systems in the electric utility sector.",NA,"United States",NA,"Espionage","Private sector","   ","   ",FALSE,"NA","2018-08-02",2018
"Attempt to compromise Ukraine's judicial system",2018-12-04,"Believed to be the work of a Russian hacking group.","Ukraine’s security agency thwarted an attack attempting to target the country’s court system.",NA,"Ukraine","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2018-12-04",2018
"APT 37",2018-02-20,"Also known as Reaper and Group 123","This threat actor uses social engineering techniques to target companies in the chemicals, electronics, manufacturing, aerospace, automotive, and health-care sectors, as well as the South Korean government.",NA,"Republic of Korea, Japan, Vietnam","Korea (Democratic People's Republic of)",NA,"Government","   ","   ",TRUE,"Middle Power","2018-02-20",2018
"Targeting of German critical infrastructure sectors",2018-06-07,"Believed to be the work of Crouching Yeti","A threat actor targeted critical infrastructure entities in the energy, water, and telecommunications sectors, prompting the German government to issue a public alert. In remarks following the alert's release, the head of Germany’s domestic intelligence agency accused Russia of controlling the targeting campaign.","Denouncement   https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2","Germany","Russian Federation","Espionage","Private sector","Denouncement ","https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2  ",FALSE,"Super Power","2018-06-07",2018
"Targeting of Omar Abdulaziz",2018-10-01,NA,"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",NA,"Omar Abdulaziz","Saudi Arabia","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2018-10-01",2018
"Compromise of Mongolian government data center",2018-06-13,NA,"A threat actor has compromised a government data center in Mongolia. Kaspersky Lab assesses that the threat actor used its access to compromise websites that they will use in subsequent watering-hole attacks.",NA,"Mongolia","China","Espionage","Government","   ","   ",TRUE,"Super Power","2018-06-13",2018
"Alleged Russian compromise of networking equipment",2018-04-16,"Believed to be associated with the Black Energy threat actor. Also known as VPNFilter","The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices and issued a public request that individuals with certain router models restart them.","Sanctions   https://home.treasury.gov/news/press-releases/sm0410","Worldwide, United States, United Kingdom, Ukraine","Russian Federation","Sabotage","Private sector","Sanctions ","https://home.treasury.gov/news/press-releases/sm0410  ",FALSE,"Super Power","2018-04-16",2018
"Gorgon Group",2018-08-02,NA,"This threat actor targets government entities in the United States and Europe. It also conducts criminal operations.",NA,"United States, Spain, Russian Federation, United Kingdom",NA,"Espionage","Government","   ","   ",TRUE,"NA","2018-08-02",2018
"Targeting of the Parliament of Australia",2018-12-07,"Unknown","An attack targeted computer systems in both houses of the Parliament of Australia. The systems of the ruling Liberal-National Coalition Party and Labor, the main opposition party, were compromised, but there is no evidence of electoral interference.",NA,"Australia",NA,NA,"Government","   ","   ",TRUE,"NA","2018-12-07",2018
"Compromise of an air-gapped German government network",2018-02-28,NA,"A threat actor compromised the Informationsverbund Berlin-Bonn, a computer network air gapped from the global internet, used by the German chancellery, parliament, Foreign Office, and other government departments based in Bonn, Germany.","Denouncement   https://www.reuters.com/article/us-germany-security/moscow-likely-behind-hack-on-german-govt-spy-chief-says-idUSKBN1HI19D","Germany","Russian Federation","Espionage","Government","Denouncement ","https://www.reuters.com/article/us-germany-security/moscow-likely-behind-hack-on-german-govt-spy-chief-says-idUSKBN1HI19D  ",TRUE,"Super Power","2018-02-28",2018
"RedAlpha",2018-06-26,"Believed to use similar infrastructure as the NetTraveler, Icefog, and APT 17 threat actors","This threat actor targets Tibetan organizations based in India, for the purpose of espionage.",NA,"India","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2018-06-26",2018
"Targeting of congressional campaigns for the 2018 U.S. midterm elections",2018-07-19,"Believed to be the work of APT 28","A threat actor targets the campaigns of candidates running for Congress in the 2018 U.S. midterm elections.",NA,"Candidates for the U.S. Congress","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2018-07-19",2018
"Targeting of South Korean actors prior to meeting of Donald J. Trump and Kim Jong-un",2018-06-05,"Believed to be the work of TempTick and Turla","Two separate threat actors targeted South Korean government organizations prior to the meeting between U.S. President Donald J. Trump and North Korean leader Kim Jong-un, for the purpose of espionage.",NA,"South Korea","China, Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2018-06-05",2018
"Indictment of officials from the Mabna Institute",2018-03-28,NA,"The U.S. Department of Justice indicted nine officials from the Mabna Insititute, an Iranian company alleged to have conducted state-sponsored cyber operations on behalf of the Iranian Revolutionary Guards. They are alleged to have compromised the networks of over 144 U.S. universities, 176 universities in over twenty-one other countries, as well as private sector, government, and multilateral entities.","Criminal charges   https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary","United States, United Nations, UNICEF, Australia, Canada, China, Denmark, Germany, Ireland, Israel, Italy, Japan, Malaysia, Netherlands, Norway, Poland, Singapore, Republic of Korea, Spain, Sweden, Switzerland, Turkey, United Kingdom","Iran (Islamic Republic of)","Espionage","Government","Criminal charges"," https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary",TRUE,"Middle Power","2018-03-28",2018
"Rancor",2018-06-26,"Believed to use similar tools as DragonOK","This threat actor uses spear-phishing techniques to target political organizations in Southeast Asia, for the purpose of espionage.",NA,"Singapore, Cambodia","China","Espionage","Government","   ","   ",TRUE,"Super Power","2018-06-26",2018
"Targeting of Yahya Assiri",2018-08-01,NA,"A threat actor targeted Yahya Assiri, a critic of the Kingdom of Saudi Arabia and a researcher at Amnesty International, for espionage purposes. The threat actor used the Pegasus tool, created by the NSO Group.",NA,"Yahya Assiri","Saudi Arabia","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2018-08-01",2018
"Compromise of SingHealth, a large health-care provider in Singapore",2018-07-20,"Believed to be the work of Whitefly. ","A threat actor compromises the networks of SingHealth, the largest health-care provider in Singapore. Personal data of over 1.5 million patients was compromised, including the pharmaceutical prescriptions of 160,000 people.",NA,"SingHealth",NA,"Espionage","Private sector","   ","   ",FALSE,"NA","2018-07-20",2018
"TempTick",2018-06-05,"Believed to be responsible for the targeting of South Korean actors prior to the meeting of Donald J. Trump and Kim Jong-un.","This threat actor targets organizations in the finance, defense, aerospace, technology, health-care, and automotive sectors and media organizations in East Asia for the purpose of espionage. This threat actor is also known for targeting a South Korean company that produces USB sticks generally used to transfer data to air-gapped networks.",NA,"South Korea, Japan","China",NA,"Government","   ","   ",TRUE,"Super Power","2018-06-05",2018
"Targeting of organizations associated with trade activity with China",2018-08-16,NA,"A threat actor is targeting multiple organizations with trade ties to China, including those connected with China’s Belt and Road Initiative. The actor also targets organizations in advance of officials’ meetings with Chinese trade officials.",NA,"United States, Kenya, Mongolia, Brazil","China","Espionage","Government","   ","   ",TRUE,"Super Power","2018-08-16",2018
"APT 39",2018-12-12,"Believed to be connected to the Iranian government.","This threat actor, operating since November 2014, focuses on the Middle East. It mainly targets the telecommunications industry, and also targets the travel industry and supporting IT firms, and the high-tech industry.",NA,"Saudi Arabia, Egypt, Turkey, Iraq, Spain, Norway, Australia, South Korea","Iran (Islamic Republic of)",NA,"Government","   ","   ",TRUE,"Middle Power","2018-12-12",2018
"Targeting of foreign ministries",2018-02-28,"Believed to be the work of APT 28","A threat actor targeted a foreign ministry in Europe and in North America using spear-phishing techniques for the purpose of espionage.",NA,NA,"Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2018-02-28",2018
"Operation Parliament",2018-04-12,NA,"This threat actor uses spear-phishing techniques to target parliaments, government ministries, academics, and media organizations, primarily in the Middle East, for the purpose of espionage.",NA,"Palestine, Egypt, Jordan, United Arab Emirates, Saudi Arabia, Djibouti, Qatar, Chile, Lebonon, Somalia, Iraq, Morocco, Syria, India, Iran, Canada, United States, United Kingdom, Germany, Israel, Afghanistan, Serbia, Russia, Oman, Kuwait, South Korea, Denmark",NA,"Espionage","Government","   ","   ",TRUE,"NA","2018-04-12",2018
"Operation GhostSecret",2018-04-24,"Believed to be the work of the Lazarus Group","A threat actor targets critical infrastructure and organizations in the entertainment, finance, health-care, education, and telecommunications sectors.",NA,"United States, United Kingdom, India, Thailand, Guatemala, Germany, France, Canada, Brazil, China, Bangladesh, Thailand, Hong Kong, Japan, Australia,","Korea (Democratic People's Republic of)","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2018-04-24",2018
"Compromise of American aerospace companies",2018-10-30,"China's Jiangsu Ministry of State Security","This threat actor reportedly intruded into American aerospace companies' computer systems to steal intellectual property and business information, including information related to turbofan engines used in commercial aircraft.","Criminal charges   https://www.justice.gov/opa/pr/chinese-intelligence-officers-and-their-recruited-hackers-and-insiders-conspired-steal","Aerospace companies based in Arizona, Massachusetts, and Oregon","China","Espionage","Private sector","Criminal charges"," https://www.justice.gov/opa/pr/chinese-intelligence-officers-and-their-recruited-hackers-and-insiders-conspired-steal",FALSE,"Super Power","2018-10-30",2018
"Compromise of the German Foreign Office",2018-03-16,"Believed to be the work of Turla","A threat actor has compromised the German Foreign Office, for the purpose of espionage.",NA,"Germany","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2018-03-16",2018
"Targeting of U.S. Navy contractors",2018-12-14,"Believed to be the work of APT 10.","In a series of incidents, Chinese hackers breached U.S. Navy contractors’ systems to steal information including ship maintenance data and missile plans.",NA,"United States","China","Espionage","Government","   ","   ",TRUE,"Super Power","2018-12-14",2018
"Targeting of a European defense agency",2018-03-15,"Believed to be the work of APT 28","A threat actor targeted a European defense agency with a spear-phishing email, which only deploys a payload if the victim opens an email attachment and scrolls to page 3.",NA,NA,"Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2018-03-15",2018
"Inception Framework",2018-03-14,"Also known as Cloud Atlas and Red October.","This threat actor uses spear-phishing techniques to target embassies and private-sector energy, defense, aerospace, research, international economics, and media organizations in Africa, Europe, and the Middle East, for the purpose of espionage. It was first identified in 2014 and has been active since.",NA,"South Africa, Kenya, United Kingdom, Malaysia, Suriname, Turkey, Turkmenistan, Ukraine, Romania, Portugal, Afghanistan",NA,"Espionage","Government","   ","   ",TRUE,"NA","2018-03-14",2018
"Targeting of Japanese companies",2018-04-22,"Believed to be the work of APT 10","This threat actor targets Japanese media and defense companies for espionage purposes.",NA,"Japan","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2018-04-22",2018
"APT 35",2018-01-01,"Also known as Phosphoros and Newscaster Team","This threat actor, whose activities date back to 2014, conducts long-term operations to collect strategic intelligence. They target U.S. and Middle Eastern defense, diplomatic, and government personnel, as well as private industries, including media, energy, business services, and telecommunications.",NA,"United States","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2018-01-01",2018
"Winnti Umbrella",2018-05-03,"Believed to be associated with the Axiom, APT 17, and Mirage threat actors. Believed to share the same tools and infrastructure as the threat actors that carried out Operation Aurora, the 2015 targeting of video game companies, the 2015 targeting of the Thai government, and the 2017 targeting of Chinese-language news websites","This threat actor targets software companies and political organizations in the United States, China, Japan, and South Korea. It primarily acts to support cyber operations conducted by other threat actors affiliated with Chinese intelligence services.",NA,"United States, United Kingdom, Japan, South Korea, China","China","Espionage","Private sector","   ","   ",FALSE,"Super Power","2018-05-03",2018
"Chrysene",2018-05-17,"Believed to be linked to the compromise of Saudi Aramco, malware Shamoon 2.0, and the OilRig threat actor","This threat actor targets organizations involved in oil, gas, and electricity production, primarily in the Gulf region, for espionage purposes. According to one cybersecurity company, the threat actor “compromises a target machine and passes it off to another threat actor for further exploitation.”",NA,"Iraq, Pakistan, Israel, United Kingdom",NA,"Espionage","Private sector","   ","   ",FALSE,"NA","2018-05-17",2018
"Global bank attacks",2018-10-03,"Suspected to be the work of the Lazarus Group.","A North Korean group is believed to have stolen hundreds of millions of dollars by infiltrating the computer systems of banks around the world since 2014.",NA,"United States, Mexico, Chile, Brazil, Uruguay, Poland, Turkey, Bangladesh, Malaysia, Vietnam, Russia, Phillipines, Taiwan","Korea (Democratic People's Republic of)","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2018-10-03",2018
"Compromise of Managed Service Providers and technology companies",2018-12-20,"China's Tianjin State Security Bureau","The threat actor compromised eight technology service providers, including Hewlett Packard Enterprise and IBM (their cloud services in particular were targeted), to steal commercial secrets from over forty-five client technology companies. The victims include Swedish telecom giant Ericsson, U.S. Navy shipbuilder Huntington Ingalls Industries, and travel reservation system Sabre.","Criminal charges   https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion","Networks and clients of Hewlett Packard Enterprise, IBM, Fujitsu, Tata Consultancy Services, NTT Data, Dimension Data, Computer Sciences Corporation, and DXC Technology","China","Espionage","Private sector","Criminal charges"," https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion",FALSE,"Super Power","2018-12-20",2018
"Targeting of the government of Belarus",2017-09-28,"Possibly linked to NetTraveler","A threat actor targeted the government of Belarus for espionage purposes, using a tool known as Travle or PYLOT, which is believed to be an update of malware used by NetTraveler.",NA,"Belarus",NA,"Espionage","Government","   ","   ",TRUE,"NA","2017-09-28",2017
"Targeting of Chinese-language news websites",2017-07-05,"Believed to be the work of Winnti Umbrella","A threat actor targeted the China Digital Times, a civil-society and news organization based outside China that publishes English- and Chinese-language content, using phishing techniques with the goal of compromising its network.",NA,"United States","China","Espionage","Civil society","   ","   ",TRUE,"Super Power","2017-07-05",2017
"Attempted compromise of email accounts associated with the UK Parliament",2017-06-25,NA,"A threat actor attempted to gain access to email accounts associated with members and other staffers of the British Parliament. The incident, originally believed to be the work of Russian or North Korean actors, was later attributed to Iran.",NA,"UK Parliament","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2017-06-25",2017
"CopyKittens",2017-07-25,NA,"This threat actor targets government institutions, universities, defense contractors, and large IT companies for the purpose of espionage.",NA,"Israel, Saudi Arabia, United States, Jordan, Germany","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2017-07-25",2017
"Compromise of the Czech foreign minister's computer",2017-01-31,"APT 28","A threat actor compromised the computer networks of the Ministry of Foreign Affairs of the Czech Republic, including those used by the foreign minister and close aides.",NA,"Czech Republic","Russian Federation","Espionage","Government","   ","   ",TRUE,"Super Power","2017-01-31",2017
"Sowbug",2017-11-07,NA,"This threat actor targets government organizations with a foreign policy role primarily in Latin America for espionage purposes. The threat actor uses the tools Felismus and Starloader.",NA,"Argentina, Brazil, Peru, Ecuador, Brunei, Malaysia",NA,"Espionage","Government","   ","   ",TRUE,"NA","2017-11-07",2017
"Targeting of U.S. electric companies",2017-10-10,NA,"A threat actor targeted U.S. electric companies with spear-phishing emails in an attempt to gain access to internal networks.",NA,"United States","Korea (Democratic People's Republic of)","Espionage",NA,"   ","   ",FALSE,"Middle Power","2017-10-10",2017
"Compromise of Qatari website, leading to diplomatic rift",2017-07-16,NA,"Qatar claims the website of the Qatar News Agency was compromised by an unknown actor, who posted false remarks attributed to the Emir of Qatar that expressed support for Iran, Israel, Hezbollah and Hamas. The Washington Post reports that U.S. intelligence officials have identified the unknown actor as the United Arab Emirates.","Denouncement   https://www.reuters.com/article/us-gulf-qatar-emirates-statement/qatar-accuses-uae-of-hack-that-sparked-gulf-crisis-idUSKBN1A21H8","Qatar News Agency","United Arab Emirates","Defacement","Government","Denouncement ","https://www.reuters.com/article/us-gulf-qatar-emirates-statement/qatar-accuses-uae-of-hack-that-sparked-gulf-crisis-idUSKBN1A21H8  ",TRUE,"Middle Power","2017-07-16",2017
"Targeting of the citizen journalism website Bellingcat",2017-11-02,"Believed to be the work of APT 28","A threat actor attempted to compromise Bellingcat, a citizen journalism website that conducts investigations, including about Russian involvement in the Syrian and Ukrainian conflicts.",NA,"Bellingcat","Russian Federation","Espionage","Civil society","   ","   ",TRUE,"Super Power","2017-11-02",2017
"WannaCry",2017-06-14,"Believed to be the work of the Lazarus Group.","A threat actor used a tool called WannaCry to encrypt data in compromised networks, and intended to provide the victims with the decryption key only after a ransom had been paid. The threat actors used an exploit, called EternalBlue--first discovered by the U.S. National Security Agency--to propagate WannaCry in organizations using the Windows operating system. On December 19, 2017, the United States, Australia, Canada, Japan, and the United Kingdom issued statements accusing North Korea of being responsible for WannaCry.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.","Denouncement   https://www.wsj.com/articles/its-official-north-korea-is-behind-wannacry-1513642537","FedEx, UK National Health Service, Telefonica, Deutsche Bahn, PetroChina, Hitachi, Renault, Nissan, Sberbank","Korea (Democratic People's Republic of)","Data destruction","Private sector","Denouncement ","https://www.wsj.com/articles/its-official-north-korea-is-behind-wannacry-1513642537  ",FALSE,"Middle Power","2017-06-14",2017
"APT 33",2017-09-20,"Also known as Magnallium and Elfin. Suspected to be linked to the Shamoon malware attacks in 2018.","This threat actor is an Iranian state-sponsored APT that targets private-sector entities in the aviation, energy, and petrochemical sectors for the purpose of espionage. It first became active in late 2015 or early 2016, and has been involved in a three-year campaign against multiple firms in the United States and Saudi Arabia. On December 19, 2018, McAfee attributed the 2016 and 2017 Shamoon wiper malware attacks on several companies in the Middle East and Europe to APT 33.",NA,"United States, Saudi Arabia, South Korea","Iran (Islamic Republic of)","Espionage","Private sector","   ","   ",FALSE,"Middle Power","2017-09-20",2017
"Targeting of Ethiopian dissidents",2017-12-06,NA,"A threat actor targeted Ethiopian dissidents for the purpose of espionage, using commercially available spyware sold by Cyberbit, an Israel-based company. Cyberbit is also believed to have tried to sell its spyware to law enforcement and national security organizations in the Philippines, Thailand, Uzbekistan, and Zambia.",NA,"Ethiopian dissidents","Ethiopia","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2017-12-06",2017
"Targeting of a Swiss federal agency",2017-09-15,"Believed to be the work of Turla","A threat actor targeted servers controlled by the Swiss Federal Department of Defense, Civil Protection, and Sports.","Denouncement   https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-68135.html","Switzerland","Russian Federation","Espionage","Government","Denouncement ","https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-68135.html  ",TRUE,"Super Power","2017-09-15",2017
"Bad Rabbit",2017-10-24,"Believed to be the work of APT 28","Using a tool called Bad Rabbit, a threat actor launched a ransomware operation that encrypted data on networks in Bulgaria, Japan, Russia, Turkey, and Ukraine. The operation is believed to have disrupted the Kiev metro system's payment network and delayed flights at Odessa's airport. In October 2018, the United Kingdom attributed this incident to Russian military intelligence.",NA,"Ukraine, Japan, Russia, Bulgaria, Turkey","Russian Federation","Sabotage","Government","   ","   ",TRUE,"Super Power","2017-10-24",2017
"MuddyWater",2017-11-14,"Also known as TEMP.Zagros and Seedworm. ","This threat actor targets governments, primarily in the Middle East and South Asia, for espionage purposes.",NA,"Saudi Arabia, Iraq, United Arab Emirates, Georgia, Israel, Pakistan, Turkey, India, United States","Iran (Islamic Republic of)","Espionage","Government","   ","   ",TRUE,"Middle Power","2017-11-14",2017
"Compromise of the International Association of Athletics Federations",2017-04-03,"Believed to be the work of APT 28.","A threat actor compromises the networks of the International Association of Athletics Federations with the purpose of obtaining the medical records of athletes. In October 2018, the United States indicted seven alleged Russian military intelligence officials involved in the incident.","Denouncement   http://www.reuters.com/article/us-sport-doping-iaaf-idUSKBN1750ZM","International Association of Athletics Federations","Russian Federation","Espionage","Civil society","Denouncement ","http://www.reuters.com/article/us-sport-doping-iaaf-idUSKBN1750ZM  ",TRUE,"Super Power","2017-04-03",2017
"Targeting of certain individuals in Panama",2017-06-20,NA,"A threat actor targeted individuals who were political critics and business rivals of Ricardo Martinelli, president of Panama between 2009 and 2014, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",NA,"Panama","Panama","Espionage","Civil society","   ","   ",TRUE,"Middle Power","2017-06-20",2017
"Compromise of Far Eastern International Bank",2017-10-07,"Believed to be the work of the Lazarus Group","A threat actor compromised the networks of Far Eastern International Bank in Taiwan, allowing them to transfer US$60 million to accounts based in the United States, Cambodia, and Sri Lanka using the SWIFT network.",NA,"Far Eastern International Bank","Korea (Democratic People's Republic of)","Sabotage","Private sector","   ","   ",FALSE,"Middle Power","2017-10-07",2017
"Compromise of email accounts of a UK TV station",2017-03-30,"Believed to be the work of APT 28","A threat actor compromised Islam Channel, a small UK TV station, in July 2015. In October 2018, the United Kingdom publicly attributed the compromise to Russian military intelligence.","Denouncement   https://www.ncsc.gov.uk/news/reckless-campaign-cyber-attacks-russian-military-intelligence-service-exposed","Islam Channel","Russian Federation","Espionage","Private sector","Denouncement ","https://www.ncsc.gov.uk/news/reckless-campaign-cyber-attacks-russian-military-intelligence-service-exposed  ",FALSE,"Super Power","2017-03-30",2017
